,k,Balanced Accuracy,Sensitivity,Specificity,MCC,AUROC,AUPRC,F1 Score,Removed Compounds,dk_values,sk_values
0,3,0.883,0.917,0.85,0.767,0.883,0.894,0.917,19,0.605,0.125
1,4,0.905,0.914,0.895,0.8,0.905,0.916,0.928,21,0.71,0.138
2,5,0.903,0.912,0.895,0.798,0.903,0.913,0.925,22,0.784,0.144
3,6,0.899,0.909,0.889,0.789,0.899,0.911,0.923,24,0.84,0.148
4,7,0.892,0.909,0.875,0.772,0.892,0.913,0.923,26,0.884,0.151
5,8,0.892,0.909,0.875,0.772,0.892,0.913,0.923,26,0.92,0.154
6,9,0.889,0.912,0.867,0.765,0.889,0.918,0.925,26,0.951,0.155
7,10,0.889,0.912,0.867,0.765,0.889,0.918,0.925,26,0.978,0.156
