k,BACC Mean,BACC Std,MCC Mean,MCC Std,AUROC Mean,AUROC Std,AUPRC Mean,AUPRC Std,Removed Compounds Mean,Removed Compounds Std
3,0.93,0.057879184513951125,0.6843999999999999,0.3507925882911439,,,0.9099999999999999,0.0784219357067906,6.2,2.4819347291981715
4,0.9324,0.06010856844078056,0.8785999999999999,0.11570237681223323,0.9323809523809524,0.06005666258699725,0.9174,0.0732873795410915,2.2,1.16619037896906
5,0.9263999999999999,0.06393934625877873,0.8591999999999999,0.12757805453917223,0.9263888888888889,0.06388888888888888,0.9187999999999998,0.06935531702760793,0.6,0.48989794855663565
6,0.9263999999999999,0.06393934625877873,0.8591999999999999,0.12757805453917223,0.9263888888888889,0.06388888888888888,0.9187999999999998,0.06935531702760793,0.4,0.48989794855663565
7,0.9278000000000001,0.06239679478947617,0.8620000000000001,0.12434146532834493,0.9277777777777778,0.06236095644623233,0.9228,0.06495967980216652,0.2,0.4
8,0.9278000000000001,0.06239679478947617,0.8620000000000001,0.12434146532834493,0.9277777777777778,0.06236095644623233,0.9228,0.06495967980216652,0.2,0.4
9,0.9278000000000001,0.06239679478947617,0.8620000000000001,0.12434146532834493,0.9277777777777778,0.06236095644623233,0.9228,0.06495967980216652,0.0,0.0
10,0.9278000000000001,0.06239679478947617,0.8620000000000001,0.12434146532834493,0.9277777777777778,0.06236095644623233,0.9228,0.06495967980216652,0.0,0.0
