,MCC
Y-randomization_1,0.01195570249647026
Y-randomization_2,0.09778978233974471
Y-randomization_3,0.19129123994352415
Y-randomization_4,0.04721921646498856
Y-randomization_5,-0.11547005383792515
Y-randomization_6,-0.09335200560186731
Y-randomization_7,-0.04782280998588104
Y-randomization_8,0.03431317581537582
Y-randomization_9,-0.2060946741117706
Y-randomization_10,-0.12985284527871854
Y-randomization_11,-0.21546437552259437
Y-randomization_12,-0.10760132246823234
Y-randomization_13,-0.011253728415158593
Y-randomization_14,0.17320508075688773
Y-randomization_15,0.11547005383792515
Y-randomization_16,0.01195570249647026
Y-randomization_17,0.12474253319729148
Y-randomization_18,-0.08006407690254357
Y-randomization_19,-0.022875450543583878
Y-randomization_20,-0.0242464322484436
Y-randomization_21,0.057735026918962574
Y-randomization_22,0.04501491366063437
Y-randomization_23,-0.03500700210070024
Y-randomization_24,-0.05555555555555555
Y-randomization_25,0.12474253319729148
Y-randomization_26,-0.15876322406928006
Y-randomization_27,0.0
Y-randomization_28,0.023338001400466827
Y-randomization_29,-0.03500700210070024
Y-randomization_30,0.06804138174397717
Y-randomization_31,-0.0242464322484436
Y-randomization_32,-0.03500700210070024
Y-randomization_33,0.2309401076758503
Y-randomization_34,-0.03500700210070024
Y-randomization_35,0.0
Y-randomization_36,-0.045360921162651446
Y-randomization_37,0.0816830049016339
Y-randomization_38,0.09150180217433551
Y-randomization_39,-0.05555555555555555
Y-randomization_40,0.05098127419345817
Y-randomization_41,-0.05555555555555555
Y-randomization_42,-0.06752237049095156
Y-randomization_43,-0.07082882469748285
Y-randomization_44,-0.0242464322484436
Y-randomization_45,0.18144368465060579
Y-randomization_46,0.07173421497882156
Y-randomization_47,0.0816830049016339
Y-randomization_48,0.03431317581537582
Y-randomization_49,0.07173421497882156
Y-randomization_50,0.0
Y-randomization_51,-0.0848625128695526
Y-randomization_52,-0.19444132962046295
Y-randomization_53,-0.12309149097933272
Y-randomization_54,-0.15169700910303438
Y-randomization_55,0.12474253319729148
Y-randomization_56,0.14002800840280097
Y-randomization_57,0.17320508075688773
Y-randomization_58,0.04501491366063437
Y-randomization_59,-0.06752237049095156
Y-randomization_60,0.04721921646498856
Y-randomization_61,-0.12379101256674452
Y-randomization_62,0.09150180217433551
Y-randomization_63,0.07173421497882156
Y-randomization_64,-0.08006407690254357
Y-randomization_65,0.24590600870544274
Y-randomization_66,0.18144368465060579
Y-randomization_67,-0.03500700210070024
Y-randomization_68,-0.07082882469748285
Y-randomization_69,0.12309149097933272
Y-randomization_70,-0.25162995597942267
Y-randomization_71,-0.17320508075688773
Y-randomization_72,0.04721921646498856
Y-randomization_73,0.09150180217433551
Y-randomization_74,-0.10760132246823234
Y-randomization_75,-0.057735026918962574
Y-randomization_76,0.11547005383792515
Y-randomization_77,-0.01180480411624714
Y-randomization_78,0.11547005383792515
Y-randomization_79,0.10128355573642733
Y-randomization_80,0.10128355573642733
Y-randomization_81,-0.03353263755074219
Y-randomization_82,-0.07082882469748285
Y-randomization_83,0.05098127419345817
Y-randomization_84,0.011340230290662862
Y-randomization_85,-0.04782280998588104
Y-randomization_86,-0.057735026918962574
Y-randomization_87,0.06804138174397717
Y-randomization_88,-0.08006407690254357
Y-randomization_89,0.023338001400466827
Y-randomization_90,0.04721921646498856
Y-randomization_91,0.2381448361039201
Y-randomization_92,0.03431317581537582
Y-randomization_93,-0.12379101256674452
Y-randomization_94,0.03431317581537582
Y-randomization_95,-0.11547005383792515
Y-randomization_96,0.06804138174397717
Y-randomization_97,-0.01180480411624714
Y-randomization_98,-0.08006407690254357
Y-randomization_99,0.1486904285332952
Y-randomization_100,0.09150180217433551
