k,BACC Mean,BACC Std,MCC Mean,MCC Std,AUROC Mean,AUROC Std,AUPRC Mean,AUPRC Std,Removed Compounds Mean,Removed Compounds Std
3,1.0,0.0,0.0,0.0,,,1.0,0.0,13.8,0.7483314773547882
4,1.0,0.0,0.25,0.4330127018922193,,,1.0,0.0,13.2,0.9797958971132712
5,1.0,0.0,0.25,0.4330127018922193,,,1.0,0.0,12.2,1.6
6,0.78,0.3919183588453085,0.3264,0.41635062147185514,,,0.9934000000000001,0.013200000000000012,11.2,2.039607805437114
7,0.78,0.3919183588453085,0.3264,0.41635062147185514,,,0.9934000000000001,0.013200000000000012,11.2,2.039607805437114
8,0.78,0.3919183588453085,0.5264,0.45031970865153126,,,0.9934000000000001,0.013200000000000012,10.6,2.4166091947189146
9,0.755,0.3809199390948182,0.48460000000000003,0.41253344106872114,,,0.96,0.06477345135161475,10.4,2.727636339397171
10,0.755,0.3809199390948182,0.48460000000000003,0.41253344106872114,,,0.96,0.06477345135161475,10.4,2.727636339397171
